Path	Directory	FileName	Extension	SizeBytes	Category	Project	Importance
01_demo_document/demo/04_uart_test/uart_test.srcs/sources_1/imports/src/uart_tx.v	01_demo_document/demo/04_uart_test/uart_test.srcs/sources_1/imports/src	uart_tx.v	.v	5453	HDL Source	04_uart_test	High
01_demo_document/demo/04_uart_test/uart_test.xpr	01_demo_document/demo/04_uart_test	uart_test.xpr	.xpr	11442	Vivado Project	04_uart_test	Critical
01_demo_document/demo/05_key_debounce/constrs_1/new/key.xdc	01_demo_document/demo/05_key_debounce/constrs_1/new	key.xdc	.xdc	1344	Constraint	05_key_debounce	High
01_demo_document/demo/05_key_debounce/key_test.xpr	01_demo_document/demo/05_key_debounce	key_test.xpr	.xpr	11285	Vivado Project	05_key_debounce	Critical
01_demo_document/demo/05_key_debounce/src/ax_debounce.v	01_demo_document/demo/05_key_debounce/src	ax_debounce.v	.v	4364	HDL Source	05_key_debounce	High
01_demo_document/demo/05_key_debounce/src/count_m10.v	01_demo_document/demo/05_key_debounce/src	count_m10.v	.v	2943	HDL Source	05_key_debounce	High
01_demo_document/demo/05_key_debounce/src/key_debounce.v	01_demo_document/demo/05_key_debounce/src	key_debounce.v	.v	3428	HDL Source	05_key_debounce	High
01_demo_document/demo/05_key_debounce/src/key_debounce_tb.v	01_demo_document/demo/05_key_debounce/src	key_debounce_tb.v	.v	1904	HDL Source	05_key_debounce	High
01_demo_document/demo/07_rom_test/rom_init.coe	01_demo_document/demo/07_rom_test	rom_init.coe	.coe	336	Memory Init	07_rom_test	Medium
01_demo_document/demo/07_rom_test/rom_test.srcs/constrs_1/new/rom.xdc	01_demo_document/demo/07_rom_test/rom_test.srcs/constrs_1/new	rom.xdc	.xdc	694	Constraint	07_rom_test	High
01_demo_document/demo/07_rom_test/rom_test.srcs/sources_1/ip/ila_0/hdl/blk_mem_gen_v8_3_vhsyn_rfs.vhd	01_demo_document/demo/07_rom_test/rom_test.srcs/sources_1/ip/ila_0/hdl	blk_mem_gen_v8_3_vhsyn_rfs.vhd	.vhd	14870848	HDL Source	07_rom_test	High
01_demo_document/demo/07_rom_test/rom_test.srcs/sources_1/ip/ila_0/hdl/blk_mem_gen_v8_4_vhsyn_rfs.vhd	01_demo_document/demo/07_rom_test/rom_test.srcs/sources_1/ip/ila_0/hdl	blk_mem_gen_v8_4_vhsyn_rfs.vhd	.vhd	14873202	HDL Source	07_rom_test	High
